Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Type],Comment [Cell Line],Treatment Protocol,Image Acquisition Protocol,Experimental Condition [Reporter],Experimental Condition [Treatment],Experimental Condition [His8-pLAT],Experimental Condition [His10- Ezrin (ABD)],Experimental Condition [Grb2],Experimental Condition [Sos1],Experimental Condition [pSLP-76],Experimental Condition [Nck],Experimental Condition [N-WASP],Experimental Condition [WASP],Experimental Condition [Actin],Experimental Condition [Myosin II],Experimental Condition [KCl],Experimental Condition [ATP],Assay Name,Image File,Comment [Image File Comments],Comment [Image File Type],Channels
"Steady state phase separation of LAT, Grb2, Sos1 with no actin",Steady State No Actin/pLAT ... Sos1 No Actin 11,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,pLAT was labeled with AlexaFluor 488. Grb2 and Sos1 were unlabeled. Grb2 and Sos1 were added to membranes coated with His8-pLAT to induce phase separation.,20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,125 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1 with no actin",Steady State No Actin/pLAT ... Sos1 No Actin 11,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1 with no actin",Steady State No Actin/pLAT ... Sos1 No Actin 12,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,pLAT was labeled with AlexaFluor 488. Grb2 and Sos1 were unlabeled. Grb2 and Sos1 were added to membranes coated with His8-pLAT to induce phase separation.,20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,125 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1 with no actin",Steady State No Actin/pLAT ... Sos1 No Actin 12,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1 with no actin",Steady State No Actin/pLAT ... Sos1 No Actin 13,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,pLAT was labeled with AlexaFluor 488. Grb2 and Sos1 were unlabeled. Grb2 and Sos1 were added to membranes coated with His8-pLAT to induce phase separation.,20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,125 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1 with no actin",Steady State No Actin/pLAT ... Sos1 No Actin 13,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1 with no actin",Steady State No Actin/pLAT ... Sos1 No Actin 14,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,pLAT was labeled with AlexaFluor 488. Grb2 and Sos1 were unlabeled. Grb2 and Sos1 were added to membranes coated with His8-pLAT to induce phase separation.,20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,125 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1 with no actin",Steady State No Actin/pLAT ... Sos1 No Actin 14,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1 with no actin",Steady State No Actin/pLAT ... Sos1 No Actin 15,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,pLAT was labeled with AlexaFluor 488. Grb2 and Sos1 were unlabeled. Grb2 and Sos1 were added to membranes coated with His8-pLAT to induce phase separation.,20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,125 nM,0 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1 with no actin",Steady State No Actin/pLAT ... Sos1 No Actin 15,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 1,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 1,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 2,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 2,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 3,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 3,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 4,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 4,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 5,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 5,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 6,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 6,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 7,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 7,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 8,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 8,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 9,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 9,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 10,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 10,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 11,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 11,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 12,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 12,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 13,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 13,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 14,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 14,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 15,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, and pSLP-76 were unlabeled. Grb2, Sos1, and pSLP-76 were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,0 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76 with no actin",Steady State No Actin/pLAT ... pSLP76 No Actin 15,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76, and Nck with no actin",Steady State No Actin/pLAT ... Nck No Actin 1,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, pSLP-76, and Nck were unlabeled. Grb2, Sos1, pSLP-76, and Nck were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76, and Nck with no actin",Steady State No Actin/pLAT ... Nck No Actin 1,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76, and Nck with no actin",Steady State No Actin/pLAT ... Nck No Actin 2,,,,,,,,,,"Images were captured every 15 seconds for 25 minutes, 101 images per time-lapse",pLAT-AlexaFluor488,"pLAT was labeled with AlexaFluor 488. Grb2, Sos1, pSLP-76, and Nck were unlabeled. Grb2, Sos1, pSLP-76, and Nck were added to membranes coated with His8-pLAT to induce phase separation.",20 nM (sol'n); 500 molecules/μm2,5 nM (sol'n); ~100 molecules/μm2,125 nM,62.5 nM,62.5 nM,125 nM,0 nM,0 nM,0 nM,0 nM,75 mM,1 mM,"Steady state phase separation of LAT, Grb2, Sos1, pSLP-76, and Nck with no actin",Steady State No Actin/pLAT ... Nck No Actin 2,Each time-lapse is a single experiment. 15 repeats of this experiment are in this dataset.,raw,"Single Channel, pLAT is labeled with AlexaFluor488"
